Frequenz in Herz;Spitze Mikrofon (mV);Zeitverschiebung_delta (ms)
100;25.11;5734
200;94.38;0.8511
300;62.34;0.1517
400;44.16;0.275
500;37.23;0.3045
600;28.14;0.2898
700;24.24;0.2603
850;24.68;0.2125
1000;25.54;0.8051
1200;24.24;0.183
1500;21.21;0.1793
1700;22.08;0.1683
2000;20.78;0.3358
3000;19.05;0.1996
4000;29.87;0.1389
5000;19.05;0.1499
6000;21.21;0.1287
10000;19.48;0.04959
