Zeit;Kanal A
(ms);(mV)

-23,98769139;1,85777500
-23,98269139;2,78727800
-23,97769139;3,53038900
-23,97269139;3,90194400
-23,96769139;2,78727800
-23,96269139;5,38877900
-23,95769139;3,90194400
-23,95269139;4,27349900
-23,94769139;5,20300200
-23,94269139;4,83144700
-23,93769139;3,71616600
-23,93269139;4,27349900
-23,92769139;4,27349900
-23,92269139;4,64566900
-23,91769139;3,34461100
-23,91269139;3,71616600
-23,90769139;2,22994600
-23,90269139;2,97305600
-23,89769139;3,34461100
-23,89269139;3,34461100
-23,88769139;2,97305600
-23,88269139;1,67199800
-23,87769139;2,41572300
-23,87269139;3,15883400
-23,86769139;2,78727800
-23,86269139;3,15883400
-23,85769139;4,45989200
-23,85269139;3,90194400
-23,84769139;3,71616600
-23,84269139;5,01722400
-23,83769139;3,34461100
-23,83269139;3,53038900
-23,82769139;4,08772100
-23,82269139;4,27349900
-23,81769139;3,15883400
-23,81269139;3,34461100
-23,80769139;4,27349900
-23,80269139;3,15883400
-23,79769139;3,71616600
-23,79269139;3,71616600
-23,78769139;4,08772100
-23,78269139;5,20300200
-23,77769139;4,27349900
-23,77269139;4,64566900
-23,76769139;5,57455700
-23,76269139;4,64566900
-23,75769139;5,76033400
-23,75269139;5,01722400
-23,74769139;7,43294800
-23,74269139;5,20300200
-23,73769139;6,68983700
-23,73269139;7,06139300
-23,72769139;8,17605800
-23,72269139;8,17605800
-23,71769139;8,54761300
-23,71269139;7,80450200
-23,70769139;7,06139300
-23,70269139;7,06139300
-23,69769139;9,29133800
-23,69269139;6,87561500
-23,68769139;8,17605800
-23,68269139;6,68983700
-23,67769139;6,68983700
-23,67269139;6,13188900
-23,66769139;6,13188900
-23,66269139;6,13188900
-23,65769139;5,57455700
-23,65269139;5,76033400
-23,64769139;3,90194400
-23,64269139;3,53038900
-23,63769139;3,15883400
-23,63269139;3,53038900
-23,62769139;2,04355300
-23,62269139;3,15883400
-23,61769139;2,78727800
-23,61269139;2,60150100
-23,60769139;2,41572300
-23,60269139;2,78727800
-23,59769140;3,53038900
-23,59269140;3,90194400
-23,58769140;2,78727800
-23,58269140;4,64566900
-23,57769140;3,34461100
-23,57269140;4,27349900
-23,56769140;2,22994600
-23,56269140;3,90194400
-23,55769140;3,34461100
-23,55269140;3,71616600
-23,54769140;3,90194400
-23,54269140;3,15883400
-23,53769140;3,90194400
-23,53269140;2,41572300
-23,52769140;4,08772100
-23,52269140;3,71616600
-23,51769140;2,41572300
-23,51269140;2,97305600
-23,50769140;2,78727800
-23,50269140;1,30044300
-23,49769140;2,04355300
-23,49269140;2,41572300
-23,48769140;1,30044300
-23,48269140;1,48622000
-23,47769140;-0,18577760
-23,47269140;-1,67199800
-23,46769140;0,18577760
-23,46269140;-1,11466500
-23,45769140;-0,37155510
-23,45269140;0,18577760
-23,44769140;-0,92888770
-23,44269140;-1,30044300
-23,43769140;-0,55733270
-23,43269140;-3,71616600
-23,42769140;-1,48622000
-23,42269140;-3,15883400
-23,41769140;-3,15883400
-23,41269140;-4,45989200
-23,40769140;-3,71616600
-23,40269140;-5,76033400
-23,39769140;-4,83144700
-23,39269140;-8,91978400
-23,38769140;-8,17605800
-23,38269140;-9,10556000
-23,37769140;-9,66289300
-23,37269140;-10,59178000
-23,36769140;-9,10556000
-23,36269140;-10,40600000
-23,35769140;-8,54761300
-23,35269140;-9,47711600
-23,34769140;-6,68983700
-23,34269140;-6,87561500
-23,33769140;-4,83144700
-23,33269140;-4,27349900
-23,32769140;-2,04355300
-23,32269140;-0,18577760
-23,31769140;0,37155510
-23,31269140;2,04355300
-23,30769140;3,34461100
-23,30269140;1,30044300
-23,29769140;2,41572300
-23,29269140;-0,74311020
-23,28769140;0,18577760
-23,28269140;-1,67199800
-23,27769140;-1,11466500
-23,27269140;-4,08772100
-23,26769140;-3,15883400
-23,26269140;-2,60150100
-23,25769140;-2,78727800
-23,25269140;-3,15883400
-23,24769140;-2,22994600
-23,24269140;-2,22994600
-23,23769140;-0,55733270
-23,23269140;-1,67199800
-23,22769140;-0,92888770
-23,22269140;-1,11466500
-23,21769140;-1,48622000
-23,21269140;0,00000000
-23,20769140;0,18577760
-23,20269140;2,41572300
-23,19769141;2,04355300
-23,19269141;2,41572300
-23,18769141;0,00000000
-23,18269141;1,48622000
-23,17769141;0,55733270
-23,17269141;1,11466500
-23,16769141;-0,37155510
-23,16269141;-0,74311020
-23,15769141;-1,67199800
-23,15269141;-1,30044300
-23,14769141;-0,74311020
-23,14269141;-2,04355300
-23,13769141;-1,67199800
-23,13269141;-0,37155510
-23,12769141;-0,74311020
-23,12269141;1,67199800
-23,11769141;0,00000000
-23,11269141;2,41572300
-23,10769141;0,74311020
-23,10269141;2,41572300
-23,09769141;2,04355300
-23,09269141;3,90194400
-23,08769141;3,90194400
-23,08269141;4,08772100
-23,07769141;2,60150100
-23,07269141;4,45989200
-23,06769141;2,04355300
-23,06269141;4,27349900
-23,05769141;2,97305600
-23,05269141;3,15883400
-23,04769141;2,04355300
-23,04269141;0,92888770
-23,03769141;0,92888770
-23,03269141;1,85777500
-23,02769141;0,18577760
-23,02269141;0,00000000
-23,01769141;1,67199800
-23,01269141;0,92888770
-23,00769141;2,41572300
-23,00269141;-1,11466500
-22,99769141;0,55733270
-22,99269141;-0,55733270
-22,98769141;2,41572300
-22,98269141;0,37155510
-22,97769141;1,67199800
-22,97269141;-0,37155510
-22,96769141;0,92888770
-22,96269141;-0,37155510
-22,95769141;-1,11466500
-22,95269141;-2,60150100
-22,94769141;-1,30044300
-22,94269141;-3,53038900
-22,93769141;-3,90194400
-22,93269141;-5,20300200
-22,92769141;-4,27349900
-22,92269141;-6,31766700
-22,91769141;-4,83144700
-22,91269141;-7,24717000
-22,90769141;-5,76033400
-22,90269141;-6,31766700
-22,89769141;-6,68983700
-22,89269141;-6,68983700
-22,88769141;-7,06139300
-22,88269141;-7,99028000
-22,87769141;-7,24717000
-22,87269141;-6,87561500
-22,86769141;-6,68983700
-22,86269141;-6,31766700
-22,85769141;-6,13188900
-22,85269141;-7,06139300
-22,84769141;-6,68983700
-22,84269141;-7,24717000
-22,83769141;-8,36183500
-22,83269141;-8,73400600
-22,82769141;-7,61872500
-22,82269141;-6,50406000
-22,81769141;-7,06139300
-22,81269141;-4,27349900
-22,80769141;-5,01722400
-22,80269142;-3,53038900
-22,79769142;-3,71616600
-22,79269142;-2,60150100
-22,78769142;-1,30044300
-22,78269142;0,00000000
-22,77769142;-0,37155510
-22,77269142;0,00000000
-22,76769142;0,00000000
-22,76269142;-1,67199800
-22,75769142;0,74311020
-22,75269142;0,18577760
-22,74769142;-1,67199800
-22,74269142;-3,53038900
-22,73769142;-0,92888770
-22,73269142;-4,64566900
-22,72769142;-2,60150100
-22,72269142;-6,13188900
-22,71769142;-3,15883400
-22,71269142;-4,27349900
-22,70769142;-4,45989200
-22,70269142;-4,27349900
-22,69769142;-5,76033400
-22,69269142;-3,15883400
-22,68769142;-3,90194400
-22,68269142;-3,53038900
-22,67769142;-2,97305600
-22,67269142;-2,41572300
-22,66769142;-0,55733270
-22,66269142;-0,74311020
-22,65769142;0,92888770
-22,65269142;1,48622000
-22,64769142;-0,37155510
-22,64269142;1,48622000
-22,63769142;1,48622000
-22,63269142;1,48622000
-22,62769142;1,85777500
-22,62269142;2,41572300
-22,61769142;2,04355300
-22,61269142;1,48622000
-22,60769142;0,92888770
-22,60269142;1,85777500
-22,59769142;1,48622000
-22,59269142;1,67199800
-22,58769142;3,34461100
-22,58269142;1,85777500
-22,57769142;2,04355300
-22,57269142;2,41572300
-22,56769142;3,90194400
-22,56269142;3,53038900
-22,55769142;3,90194400
-22,55269142;4,27349900
-22,54769142;5,01722400
-22,54269142;4,27349900
-22,53769142;4,83144700
-22,53269142;4,08772100
-22,52769142;5,57455700
-22,52269142;3,53038900
-22,51769142;5,57455700
-22,51269142;4,45989200
-22,50769142;2,78727800
-22,50269142;1,85777500
-22,49769142;3,90194400
-22,49269142;1,67199800
-22,48769142;2,60150100
-22,48269142;2,78727800
-22,47769142;2,41572300
-22,47269142;1,48622000
-22,46769142;1,30044300
-22,46269142;2,04355300
-22,45769142;2,04355300
-22,45269142;3,34461100
-22,44769142;3,34461100
-22,44269142;3,53038900
-22,43769142;2,97305600
-22,43269142;2,41572300
-22,42769142;3,71616600
-22,42269142;3,15883400
-22,41769142;2,78727800
-22,41269142;3,34461100
-22,40769143;5,20300200
-22,40269143;2,97305600
-22,39769143;2,78727800
-22,39269143;4,08772100
-22,38769143;3,15883400
-22,38269143;4,08772100
-22,37769143;3,34461100
-22,37269143;3,34461100
-22,36769143;5,20300200
-22,36269143;3,71616600
-22,35769143;4,27349900
-22,35269143;4,64566900
-22,34769143;6,68983700
-22,34269143;4,27349900
-22,33769143;6,68983700
-22,33269143;7,80450200
-22,32769143;7,61872500
-22,32269143;5,57455700
-22,31769143;7,99028000
-22,31269143;7,99028000
-22,30769143;7,43294800
-22,30269143;7,43294800
-22,29769143;7,80450200
-22,29269143;6,13188900
-22,28769143;7,43294800
-22,28269143;8,36183500
-22,27769143;8,54761300
-22,27269143;7,80450200
-22,26769143;6,50406000
-22,26269143;6,31766700
-22,25769143;6,13188900
-22,25269143;6,50406000
-22,24769143;5,20300200
-22,24269143;4,83144700
-22,23769143;4,27349900
-22,23269143;3,15883400
-22,22769143;2,04355300
-22,22269143;2,78727800
-22,21769143;2,97305600
-22,21269143;2,78727800
-22,20769143;3,34461100
-22,20269143;2,41572300
-22,19769143;1,85777500
-22,19269143;2,04355300
-22,18769143;3,90194400
-22,18269143;2,60150100
-22,17769143;2,41572300
-22,17269143;3,34461100
-22,16769143;2,97305600
-22,16269143;4,83144700
-22,15769143;3,53038900
-22,15269143;4,08772100
-22,14769143;4,83144700
-22,14269143;5,38877900
-22,13769143;6,31766700
-22,13269143;3,15883400
-22,12769143;4,64566900
-22,12269143;3,53038900
-22,11769143;3,71616600
-22,11269143;4,27349900
-22,10769143;2,78727800
-22,10269143;3,53038900
-22,09769143;2,78727800
-22,09269143;2,60150100
-22,08769143;0,18577760
-22,08269143;1,30044300
-22,07769143;0,92888770
-22,07269143;1,11466500
-22,06769143;0,55733270
-22,06269143;0,18577760
-22,05769143;-0,18577760
-22,05269143;0,00000000
-22,04769143;-0,92888770
-22,04269143;0,00000000
-22,03769143;-1,11466500
-22,03269143;-2,04355300
-22,02769143;-0,92888770
-22,02269143;-1,85777500
-22,01769143;-1,67199800
-22,01269144;-3,15883400
-22,00769144;-4,45989200
-22,00269144;-3,34461100
-21,99769144;-3,90194400
-21,99269144;-3,90194400
-21,98769144;-5,76033400
-21,98269144;-7,24717000
-21,97769144;-7,43294800
-21,97269144;-7,61872500
-21,96769144;-9,10556000
-21,96269144;-9,10556000
-21,95769144;-9,66289300
-21,95269144;-9,84867000
-21,94769144;-10,40600000
-21,94269144;-10,40600000
-21,93769144;-9,84867000
-21,93269144;-7,24717000
-21,92769144;-6,87561500
-21,92269144;-5,76033400
-21,91769144;-3,71616600
-21,91269144;-3,53038900
-21,90769144;0,55733270
-21,90269144;0,18577760
-21,89769144;1,67199800
-21,89269144;1,85777500
-21,88769144;2,41572300
-21,88269144;0,37155510
-21,87769144;1,11466500
-21,87269144;-1,30044300
-21,86769144;-1,30044300
-21,86269144;-2,04355300
-21,85769144;-1,85777500
-21,85269144;-3,90194400
-21,84769144;-2,97305600
-21,84269144;-4,27349900
-21,83769144;-3,53038900
-21,83269144;-4,83144700
-21,82769144;-2,22994600
-21,82269144;-3,34461100
-21,81769144;-2,22994600
-21,81269144;-2,60150100
-21,80769144;0,55733270
-21,80269144;-0,37155510
-21,79769144;-0,37155510
-21,79269144;0,00000000
-21,78769144;1,48622000
-21,78269144;1,11466500
-21,77769144;3,15883400
-21,77269144;0,55733270
-21,76769144;1,85777500
-21,76269144;-0,55733270
-21,75769144;1,67199800
-21,75269144;-0,18577760
-21,74769144;0,18577760
-21,74269144;-2,22994600
-21,73769144;0,18577760
-21,73269144;-1,11466500
-21,72769144;-0,18577760
-21,72269144;-0,74311020
-21,71769144;0,18577760
-21,71269144;1,48622000
-21,70769144;2,97305600
-21,70269144;1,67199800
-21,69769144;0,18577760
-21,69269144;3,90194400
-21,68769144;2,78727800
-21,68269144;2,97305600
-21,67769144;2,60150100
-21,67269144;3,34461100
-21,66769144;3,53038900
-21,66269144;3,71616600
-21,65769144;2,97305600
-21,65269144;4,83144700
-21,64769144;1,85777500
-21,64269144;3,34461100
-21,63769144;2,41572300
-21,63269144;2,97305600
-21,62769144;1,11466500
-21,62269144;0,37155510
-21,61769145;0,55733270
-21,61269145;0,92888770
-21,60769145;1,48622000
-21,60269145;-0,74311020
-21,59769145;0,18577760
-21,59269145;0,18577760
-21,58769145;1,30044300
-21,58269145;-0,74311020
-21,57769145;1,11466500
-21,57269145;0,18577760
-21,56769145;1,48622000
-21,56269145;-0,18577760
-21,55769145;1,11466500
-21,55269145;-1,11466500
-21,54769145;-0,74311020
-21,54269145;-2,04355300
-21,53769145;-2,60150100
-21,53269145;-3,53038900
-21,52769145;-3,34461100
-21,52269145;-3,34461100
-21,51769145;-4,83144700
-21,51269145;-4,27349900
-21,50769145;-5,01722400
-21,50269145;-4,08772100
-21,49769145;-5,94611200
-21,49269145;-5,38877900
-21,48769145;-6,68983700
-21,48269145;-6,31766700
-21,47769145;-7,61872500
-21,47269145;-6,68983700
-21,46769145;-7,24717000
-21,46269145;-7,80450200
-21,45769145;-5,57455700
-21,45269145;-6,31766700
-21,44769145;-6,68983700
-21,44269145;-8,54761300
-21,43769145;-6,31766700
-21,43269145;-8,36183500
-21,42769145;-7,24717000
-21,42269145;-7,61872500
-21,41769145;-6,68983700
-21,41269145;-7,24717000
-21,40769145;-6,68983700
-21,40269145;-6,31766700
-21,39769145;-5,57455700
-21,39269145;-5,38877900
-21,38769145;-3,15883400
-21,38269145;-1,67199800
-21,37769145;-1,11466500
-21,37269145;-2,41572300
-21,36769145;-1,67199800
-21,36269145;0,00000000
-21,35769145;-1,85777500
-21,35269145;0,18577760
-21,34769145;-1,11466500
-21,34269145;-0,92888770
-21,33769145;-1,11466500
-21,33269145;-0,18577760
-21,32769145;-1,67199800
-21,32269145;-2,97305600
-21,31769145;-2,60150100
-21,31269145;-5,38877900
-21,30769145;-5,20300200
-21,30269145;-5,20300200
-21,29769145;-3,71616600
-21,29269145;-6,13188900
-21,28769145;-4,45989200
-21,28269145;-5,20300200
-21,27769145;-4,83144700
-21,27269145;-3,90194400
-21,26769145;-2,60150100
-21,26269145;-1,11466500
-21,25769145;-1,30044300
-21,25269145;-0,74311020
-21,24769145;-0,37155510
-21,24269145;1,48622000
-21,23769145;2,41572300
-21,23269145;1,11466500
-21,22769145;1,30044300
-21,22269146;1,85777500
-21,21769146;3,34461100
-21,21269146;2,22994600
-21,20769146;1,85777500
-21,20269146;0,55733270
-21,19769146;1,48622000
-21,19269146;1,48622000
-21,18769146;3,90194400
-21,18269146;-0,74311020
-21,17769146;2,22994600
-21,17269146;2,04355300
-21,16769146;2,60150100
-21,16269146;3,34461100
-21,15769146;2,97305600
-21,15269146;3,90194400
-21,14769146;2,78727800
-21,14269146;4,64566900
-21,13769146;4,27349900
-21,13269146;4,83144700
-21,12769146;4,83144700
-21,12269146;4,27349900
-21,11769146;5,20300200
-21,11269146;5,01722400
-21,10769146;5,20300200
-21,10269146;4,64566900
-21,09769146;3,34461100
-21,09269146;2,41572300
-21,08769146;3,71616600
-21,08269146;2,04355300
-21,07769146;2,60150100
-21,07269146;2,97305600
-21,06769146;1,48622000
-21,06269146;1,48622000
-21,05769146;1,67199800
-21,05269146;2,78727800
-21,04769146;2,41572300
-21,04269146;1,85777500
-21,03769146;3,90194400
-21,03269146;3,71616600
-21,02769146;3,53038900
-21,02269146;4,83144700
-21,01769146;3,53038900
-21,01269146;4,83144700
-21,00769146;4,27349900
-21,00269146;4,27349900
-20,99769146;4,27349900
-20,99269146;4,83144700
-20,98769146;4,27349900
-20,98269146;3,71616600
-20,97769146;2,97305600
-20,97269146;4,08772100
-20,96769146;6,68983700
-20,96269146;3,15883400
-20,95769146;3,34461100
-20,95269146;3,34461100
-20,94769146;4,27349900
-20,94269146;3,71616600
-20,93769146;4,45989200
-20,93269146;4,64566900
-20,92769146;3,34461100
-20,92269146;4,83144700
-20,91769146;3,90194400
-20,91269146;5,57455700
-20,90769146;7,24717000
-20,90269146;6,50406000
-20,89769146;7,61872500
-20,89269146;8,73400600
-20,88769146;7,80450200
-20,88269146;7,43294800
-20,87769146;7,99028000
